CountyCode	PrecinctNu	CensusBloc	Split
MRT	2	120850005014038	
MRT	2	120850005014039	
MRT	2	120850005014040	
MRT	2	120850005014041	
MRT	4	120850005014042	
MRT	7	120850005014043	
MRT	7	120850005014044	
MRT	2	120850005014045	
MRT	2	120850005014046	
MRT	2	120850005014047	
MRT	2	120850005014048	
MRT	2	120850005014049	
MRT	2	120850005014050	
MRT	2	120850005014051	
MRT	4	120850005014052	
MRT	10	120850005014053	
MRT	4	120850005014054	
MRT	4	120850005014055	
MRT	4	120850005014056	
MRT	4	120850005014057	
MRT	4	120850005014058	
MRT	4	120850005014059	
MRT	4	120850005014060	
MRT	4	120850005014061	
MRT	10	120850005021000	
MRT	10	120850005021001	
MRT	10	120850005021002	
MRT	10	120850005021003	
MRT	10	120850005021004	
MRT	10	120850005021005	
MRT	10	120850005021006	
MRT	10	120850005021007	
MRT	10	120850005021008	
MRT	10	120850005021009	
MRT	10	120850005021010	
MRT	10	120850005021011	
MRT	10	120850005021012	
MRT	10	120850005021013	
MRT	10	120850005021014	
MRT	10	120850005021015	
MRT	10	120850005021016	
MRT	10	120850005021017	
MRT	10	120850005021018	
MRT	10	120850005021019	
MRT	10	120850005021020	
MRT	10	120850005021021	
MRT	10	120850005021022	
MRT	10	120850005021023	
MRT	5	120850005021024	
MRT	10	120850005021025	
MRT	10	120850005021026	
MRT	5	120850005021027	
MRT	10	120850005021028	
MRT	10	120850005021029	
MRT	10	120850005021030	
MRT	10	120850005021031	
MRT	10	120850005021032	
MRT	10	120850005021033	
MRT	10	120850005021034	
MRT	10	120850005021035	
MRT	10	120850005021036	
MRT	10	120850005021037	
MRT	10	120850005021038	
MRT	10	120850005021039	
MRT	10	120850005021040	
MRT	10	120850005021041	
MRT	10	120850005021042	
MRT	10	120850005021043	
MRT	10	120850005021044	
MRT	10	120850005021045	
MRT	10	120850005021046	
MRT	10	120850005021047	
MRT	10	120850005021048	
MRT	10	120850005021049	
MRT	10	120850005021050	
MRT	5	120850005021051	
MRT	5	120850005021052	
MRT	10	120850005022000	
MRT	10	120850005022001	
MRT	10	120850005022002	
MRT	10	120850005022003	
MRT	10	120850005022004	
MRT	10	120850005022005	
MRT	10	120850005022006	
MRT	10	120850005022007	
MRT	10	120850005022008	
MRT	10	120850005022009	
MRT	10	120850005022010	
MRT	10	120850005022011	
MRT	10	120850005022012	
MRT	10	120850005022013	
MRT	10	120850005022014	
MRT	10	120850005022015	
MRT	5	120850005022016	
MRT	4	120850005022017	
MRT	4	120850005022018	
MRT	7	120850005022019	
MRT	5	120850005022020	
MRT	5	120850005022021	
MRT	5	120850005022022	
MRT	24	120850006031000	
MRT	24	120850006031001	
MRT	24	120850006031002	
MRT	24	120850006031003	
MRT	25	120850006031004	
MRT	24	120850006031005	
MRT	24	120850006031006	
MRT	24	120850006031007	
MRT	24	120850006031008	
MRT	24	120850006031009	
MRT	24	120850006031010	
MRT	24	120850006031011	
MRT	24	120850006031012	
MRT	24	120850006031013	
MRT	24	120850006031014	
MRT	24	120850006031015	
MRT	24	120850006031016	
MRT	24	120850006031017	
MRT	25	120850006031018	
MRT	25	120850006031019	
MRT	24	120850006031020	
MRT	24	120850006031021	
MRT	24	120850006031022	
MRT	24	120850006031023	
MRT	24	120850006031024	
